Country,Capital City,Population
Afghanistan,Kabul,4011770
Albania,Tiranë (Tirana),475577
Algeria,El Djazaïr (Algiers),2693542
American Samoa,Pago Pago,48526
Andorra,Andorra la Vella,22614
Angola,Luanda,7774200
Anguilla,The Valley,1402
Antigua and Barbuda,St. John's,20764
Argentina,Buenos Aires,14966530
Armenia,Yerevan,1080324
Aruba,Oranjestad,29877
Australia,Canberra,447692
Austria,Wien (Vienna),1900547
Azerbaijan,Baku,2285729
Bahamas,Nassau,279668
Bahrain,Al-Manamah (Manama),564631
Bangladesh,Dhaka,19578421
Barbados,Bridgetown,89201
Belarus,Minsk,2004672
Belgium,Bruxelles-Brussel,2049510
Belize,Belmopan,22964
Benin,Cotonou,685458
Bermuda,Hamilton,10073
Bhutan,Thimphu,203297
Bolivia (Plurinational State of),La Paz,1814087
Bosnia and Herzegovina,Sarajevo,342577
Botswana,Gaborone,269338
Brazil,Brasília,4469585
British Virgin Islands,Road Town,15137
Brunei Darussalam,Bandar Seri Begawan,40781
Bulgaria,Sofia,1272418
Burkina Faso,Ouagadougou,2531381
Burundi,Bujumbura,898968
Cabo Verde,Praia,167504
Cambodia,Phnum Pénh (Phnom Penh),1952329
Cameroon,Yaoundé,3655656
Canada,Ottawa-Gatineau,1363159
Caribbean Netherlands,Kralendijk,11313
Cayman Islands,George Town,34875
Central African Republic,Bangui,850946
Chad,N'Djaména,1322679
Channel Islands,St. Helier,34386
Channel Islands,St. Peter Port,16271
Chile,Santiago,6680371
China,Beijing,19617963
"China, Hong Kong SAR",Hong Kong,7428887
"China, Macao SAR",Macao,632418
"China, Taiwan Province of China",Taibei,2705791
Colombia,Bogotá,10574409
Comoros,Moroni,62351
Congo,Brazzaville,2229693
Cook Islands,Rarotonga,13067
Costa Rica,San José,1357745
Côte d'Ivoire,Abidjan,4920776
Croatia,Zagreb,685587
Cuba,La Habana (Havana),2136468
Curaçao,Willemstad,144037
Cyprus,Lefkosia (Nicosia),269469
Czechia,Praha (Prague),1291552
Dem. People's Republic of Korea,P'yongyang,3037862
Democratic Republic of the Congo,Kinshasa,13171256
Denmark,København (Copenhagen),1320826
Djibouti,Djibouti,561564
Dominica,Roseau,14942
Dominican Republic,Santo Domingo,3172152
Ecuador,Quito,1822397
Egypt,Al-Qahirah (Cairo),20076002
El Salvador,San Salvador,1106698
Equatorial Guinea,Malabo,296770
Eritrea,Asmara,895863
Estonia,Tallinn,437027
Ethiopia,Addis Ababa,4399674
Faeroe Islands,Tórshavn,20817
Falkland Islands (Malvinas),Stanley,2269
Fiji,Suva,178339
Finland,Helsinki,1279096
France,Paris,10900952
French Guiana,Cayenne,57506
French Polynesia,Papeete,136005
Gabon,Libreville,813489
Gambia,Banjul,437161
Georgia,Tbilisi,1077333
Germany,Berlin,3552123
Ghana,Accra,2439389
Gibraltar,Gibraltar,34733
Greece,Athínai (Athens),3155600
Greenland,Nuuk (Godthåb),18406
Grenada,St.George's,39297
Guadeloupe,Basse-Terre,58397
Guam,Hagåtña,146905
Guatemala,Ciudad de Guatemala (Guatemala City),2851104
Guinea,Conakry,1843121
Guinea-Bissau,Bissau,558399
Guyana,Georgetown,109934
