순번,국가코드,국가,수도,인구
1,IN,인도,뉴델리,1428630000 
2,CN,중화인민공화국,베이징,1411750000 
3,US,미국,워싱턴 D.C.,334805268 
4,ID, 인도네시아,자카르타,279134505 
5,PK, 파키스탄,이슬라마바드,229488996 
6,NG, 나이지리아,아부자,216741966 
7,BR, 브라질,브라질리아,215351000 
8,BD, 방글라데시,다카,167883226 
9,RU, 러시아,모스크바,145808097 
10,MX, 멕시코,멕시코시티,131564024 
11,JP, 일본,도쿄,125580000 
12,ET, 에티오피아,아디스아바바,120816000 
13,PH, 필리핀,마닐라,112503764 
14,EG, 이집트,카이로,106151603 
15,VN, 베트남,하노이,98950000 
16,CD, 콩고 민주 공화국,킨샤사,95248000 
17,IR, 이란,테헤란,86028968 
18,TR, 튀르키예,앙카라,85560273 
19,DE, 독일,베를린,83883942 
20,TH, 태국,방콕,70073000 
21,GB, 영국,런던,68491234 
22,FR, 프랑스,파리,65582492 
23,ZA, 남아프리카 공화국,프리토리아,60142978 
24,TZ, 탄자니아,도도마,59441988 
25,IT, 이탈리아,로마,59045521 
26,MM, 미얀마,네피도,55294979 
27,KR, 대한민국,서울,51430018 
28,CO, 콜롬비아,보고타,51049498 
29,KE, 케냐,나이로비,47564296 
30,ES, 스페인,마드리드,47394223 
31,UG, 우간다,캄팔라,45958837 
32,AR, 아르헨티나,부에노스아이레스,45661935 
33,DZ, 알제리,알제,44851834 
34,SD, 수단,하르툼,44780237 
35,UA, 우크라이나,키이우,43609194 
36,IQ, 이라크,바그다드,39127900 
37,PL, 폴란드,바르샤바,38413000 
38,CA, 캐나다,오타와,36488800 
39,MA, 모로코,카사블랑카,35029100 
40,UZ, 우즈베키스탄,타슈켄트,33516570 
41,SA, 사우디아라비아,리야드,33413660 
42,MY, 말레이시아,쿠알라룸푸르,32738000 
43,PE, 페루,리마,32495510 
44,VE, 베네수엘라,카라카스,32219521 
45,AF, 아프가니스탄,카불,31575018 
46,GH, 가나,아크라,30280811 
47,AO, 앙골라,루안다,30175553 
48,NP, 네팔,카트만두,29609623 
49,YE, 예멘,사나,29579986 
50,MZ, 모잠비크,마푸투,27909798 
51,CI, 코트디부아르,야무수크로,25823071 
52,KP, 조선민주주의인민공화국,평양,25750000 
53,AU, 오스트레일리아,캔버라,25371700 
54,MG, 마다가스카르,안타나나리보,25263000 
55,CM, 카메룬,야운데,24348251 
56,NE, 니제르,니아메,22314743 
57,LK, 스리랑카,스리자야와르데네푸라코테,21670112 
58,BF, 부르키나파소,와가두구,20870060 
59,ML, 말리,바마코,19973000 
60,RO, 루마니아,부쿠레슈티,19523621 
61,CL, 칠레,산티아고,19107216 
62,SY, 시리아,다마스쿠스,18499181 
63,KZ, 카자흐스탄,아스타나,18481664 
64,GT, 과테말라,과테말라,17679735 
65,MW, 말라위,릴롱궤,17563749 
66,ZM, 잠비아,루사카,17381168 
67,NL, 네덜란드,암스테르담,17320400 
68,EC, 에콰도르,키토,17245100 
69,KH, 캄보디아,프놈펜,16289270 
70,SN, 세네갈,다카르,16209125 
71,TD, 차드,은자메나,15692969 
72,ZW, 짐바브웨,하라레,15159624 
73,SO, 소말리아,모가디슈,14742523 
74,RW, 르완다,키갈리,12374397 
75,GN, 기니,코나크리,12218357 
76,BJ, 베냉,포르토노보,11733059 
77,HT, 아이티,포르토프랭스,11577779 
78,TN, 튀니지,튀니스,11551448 
79,BO, 볼리비아,수크레,11469896 
80,BE, 벨기에,브뤼셀,11467362 
81,CU, 쿠바,아바나,11221060 
82,BI, 부룬디,기테가,10953317 
83,GR, 그리스,아테네,10741165 
